Tigrigna,English,file_name
"ሀንዛ","thin/thick home made cornbread"
"ጽምዋ","solitude, loneliness"
"ጽምው","solitary, lonely"
"ጽምዲ","pair"
"ጽምዲ ቁጽሪ","equal, even"
"ጽሩይ","pure, clear, neat, clean"
"ጽሩይ ውጹእ","plainly, flatly clearly"
"ጽሬት","cleanness, neatness tidiness, cleanliness -"
"ጽሮት","tolerance"
"ጽቓጢት","press"
"ጽቕጥቅጥ","crowd"
"ጽቡቕ","good, pretty, beautiful"
"ጽቡቕ ድሌት","goodwill benevolence"
"ጽቡቕ ግብሪ","benefit, service"
"ጽቢብ","narrow, tight"
"ጽባሕ","tomorrow"
"ጽባቐ","beauty"
"ጽኑዕ","firmly, strict, hard"
"ጽኑዕ ምክትታል","rigour strictness"
"ጽንሐ","remain"
"ጽንሒት","stay, abode, dwelling"
"ጽንጽዋይ","story, tale"
"ጽዋእ ወይኒ","chalice"
"ጽዑቕ","bushy, tangled"
"ጽዑቕ ህዝቢ","crowd"
"ጽዕነት","load"
"ጽየቓ","delinquency"
"ጽገና","amends, reform"
"ጽጉሪ ርእሲ","hair"
"ጽጌረዳ","rose"
"ጽጌዕ","mumps"
"ጽፍሪ ኢድ","finger nails"
"ጽፍሪ እግሪ","toe nail"
"ፈለየ","isolate, separate"
"ፈለግ","river"
"ፈለጠ","know, know how to"
"ፈለጥቲ","relation, relationship"
"ፈላለየ","separate"
"ፈላሲ","monk"
"ፈልዩ ኣትረፈ","exclude"
"ፈልደት","physics"
"ፈልፋሊ","fountain"
"ፈሓረ","dig"
"ፈሓር ማዕድን","minor"
"ፈረሰኛ","horse rider, knight dragon-fly"
"ፈረስ","horse"
"ፈረስ ምስቃል","horsemanship"
"ፈረንሳዊ","French"
"ፈረደ","rule, judge"
"ፈራይ","fertile"
"ፈራዲ","judge"
"ፈራዳይ","judge"
"ፈራዶ","jury, board, panel"
"ፈርሐ","fear, be afraid"
"ፈርሲ ዳንጋ","calf"
"ፈሰሰ","flow"
"ፈሳሲ","liquid"
"ፈሳሲ ዘለዎ","juicy"
"ፈሸለ","fail, fail"
"ፈቃር","affectionate"
"ፈቐደ","allow, count, grant"
"ፈተሐ","undo, detach, solve resolve"
"ፈተነ","temptation, try attempt"
"ፈተና","test"
"ፈትሊ","thread, yarn, string"
"ፈትሐ","release"
"ፈነወ","loosen, slacken"
"ፈከረ","boast"
"ፈኲስ","light"
"ፈውሲ","remedy"
"ፈደል","alphabet"
"ፈደረሽን","confederation"
"ፈደየ","repay"
"ፈጠረ","create"
"ፈጣሪ","creator"
"ፈጸመ","commit, conclude"
"ፈጽመ","perform"
"ፉሉጥ","appreciable"
"ፉል","peanuts"
"ፊልም","film"
"ፊሕኛ","bladder"
"ፊስቶ","barrel"
"ፊቕታ","sob"
"ፊናንስ","finance, ready money"
"ፊደላት ሰርዐ","make up compose"
"ፊደል","letter"
"ፊጽፊጽ","whistle"
"ፋሕ ዝበለ","disorder"
"ፋሕፈሐ","rub, scour, scrape"
"ፋርማሲ","pharmacy"
"ፋርማሲያዊ","pharmacist"
"ፋርከታ","fork"
"ፋሲካ","Easter"
"ፋስ","axe"
"ፋብሪካ","manufacture, factory"
"ፋነነ","triumph"
"ፋኑስ","lamp"
"ፋጆሊ","bean, green beans"
"ፋጸየ","whistle, hiss, sizzle"
"ፍሉይ","uncommon, special particular"
"ፍሉይነት","distinction"
"ፍሉጥ","knew, was aware of understood"
"ፍልልይ","difference"
"ፍልማዊ","first, primary"
"ፍልጠት","know, know how to knowledge, acquaintance"
"ፍሒራ","weasel"
"ፍሕሽው","likable, pleasant"
"ፍረ","seed"
"ፍረ ቸስትናት","chestnut"
"ፍረ ኦክ","acorn"
"ፍሩታ","fruit"
"ፍርሂ","fear"
"ፍርሒ","fear, dread"
"ፍርቂ","half"
"ፍርቂ ለይቲ","midnight"
"ፍርቂ ኪሎ","pound"
"ፍርዲ","judgement"
"ፍርዲ","judgment, verdict"
"ፍሲህ","calm, smiling"
"ፍስሃ","pleasure, delight"
"ፍሽለት","failure, defeat"
"ፍሽኸታ","smile"
"ፍቑር","loving, in love with"
"ፍቓድ","permission"
"ፍቕሪ","affection, love"
"ፍትሒ","judgement, justice"
"ፍትው","favourite"
"ፍዳ ሕነ","revenge"
"ፍጹም","absolute"
"ፍጻሜ","action, act, event"
"ፎልዮ","leaf, sheet paper"
"ፎርማጆ","cheese"
"ፎርነሎ","furnace, cooker"
"ፎደራ","lining"
"ፐረ","pear tree, pear"
"ፐርሰሜሎ","Italian parsley"
"ፐትሮል","petroleum"
"ፐፐሮኒ","green pepper"
"ፒያኖ","piano"
"ፒፓ","pipe"
"ፕለይን","plane tree"
"ፕሮፈሰር","teacher, professor"
"ፖለቲካዊ","political, diplomatic"
"ፖለቲካዊ ሰልፊ","party"
"ፖለቲክ","politician"
"ፖሊስ","policeman, police"
"ፖምፓ","pomp"
"ፖስተር","poster"
"ፖፕላር","popular"
